70,19/02/2019,BE 0685.615.103,12,EUR,,
NAT.,Datum neerlegging,Nr.,Blz.,D.,19054.00291,MIC 1
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MIC 2.1
"",,,
Nr.,BE 0685.615.103,,MI
"",,,
Nr.,BE 0685.615.103,,MI
"",,,
Nr.,BE 0685.615.103,,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MIC 3.1
"",Toel.,Codes,Boekjaar,,Vorig boekjaar
ACTIVA,,,,,
Oprichtingskosten,,20,,,
Vaste activa,,21/28,11.266,,
Immateriële vaste activa,6.1.1,21,3.083,,
Materiële vaste activa,6.1.2,22/27,8.183,,
Terreinen en gebouwen,,22,,,
"Installaties, machines en uitrusting",,23,1.233,,
Meubilair en rollend materieel,,24,6.949,,
Leasing en soortgelijke rechten,,25,,,
Overige materiële vaste activa,,26,,,
Activa in aanbouw en vooruitbetalingen,,27,,,
Financiële vaste activa,6.1.3,28,,,
Vlottende activa,,29/58,335.710,,
Vorderingen op meer dan één jaar,,29,,,
Handelsvorderingen,,290,,,
Overige vorderingen,,291,,,
Voorraden en bestellingen in uitvoering,,3,72.615,,
Voorraden,,30/36,72.615,,
Bestellingen in uitvoering,,37,,,
Vorderingen op ten hoogste één jaar,,40/41,142.963,,
Handelsvorderingen,,40,141.715,,
Overige vorderingen,,41,1.248,,
Geldbeleggingen,,50/53,,,
Liquide middelen,,54/58,120.132,,
Overlopende rekeningen,,490/1,,,
TOTAAL VAN DE ACTIVA,,20/58,346.977,,
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MIC 3.2
"",,Toel.,Codes,Boekjaar,,Vorig boekjaar
PASSIVA,,,,,,
Eigen vermogen,,,10/15,43.491,,
Kapitaal,,,10,12.400,,
Geplaatst kapitaal,,,100,18.600,,
Niet-opgevraagd kapitaal,,,101,6.200,,
Uitgiftepremies,,,11,,,
Herwaarderingsmeerwaarden,,,12,,,
Reserves,,,13,31.091,,
Wettelijke reserve,,,130,1.860,,
Onbeschikbare reserves,,,131,,,
Voor eigen aandelen,,,1310,,,
Andere,,,1311,,,
Belastingvrije reserves,,,132,16.286,,
Beschikbare reserves,,,133,12.945,,
Overgedragen winst (verlies) (+)/(-),,,14,,,
Kapitaalsubsidies,,,15,,,
Voorschot aan de vennoten op de verdeling van het,,,,,,
netto-actief,,,19,,,
Voorzieningen en uitgestelde belastingen,,,16,,,
Voorzieningen voor risico's en kosten,,,160/5,,,
Pensioenen en soortgelijke verplichtingen,,,160,,,
Fiscale lasten,,,161,,,
Grote herstellings- en onderhoudswerken,,,162,,,
Milieuverplichtingen,,,163,,,
Overige risico's en kosten,,,164/5,,,
Uitgestelde belastingen,,,168,,,
Schulden,,,17/49,303.486,,
Schulden op meer dan één jaar,,,17,17.598,,
Financiële schulden,,,170/4,17.598,,
"Kredietinstellingen, leasingschulden en soortgelijke",,,,,,
schulden,,,172/3,17.598,,
Overige leningen,,,174/0,,,
Handelsschulden,,,175,,,
Ontvangen vooruitbetalingen op bestellingen,,,176,,,
Overige schulden,,,178/9,,,
Schulden op ten hoogste één jaar,,,42/48,282.997,,
Schulden op meer dan één jaar die binnen het jaar,,,,,,
vervallen,,,42,4.260,,
Financiële schulden,,,43,,,
Kredietinstellingen,,,430/8,,,
Overige leningen,,,439,,,
Handelsschulden,,,44,134.397,,
Leveranciers,,,440/4,134.397,,
Te betalen wissels,,,441,,,
Ontvangen vooruitbetalingen op bestellingen,,,46,,,
"Schulden met betrekking tot belastingen,",,,,,,
bezoldigingen en sociale lasten,,,45,39.921,,
Belastingen,,,450/3,35.831,,
Bezoldigingen en sociale lasten,,,454/9,4.091,,
Overige schulden,,,47/48,104.418,,
Overlopende rekeningen,,,492/3,2.892,,
TOTAAL VAN DE PASSIVA,,,10/49,346.977,,
Nr.,BE 0685.615.103,M
Nr.,BE 0685.615.103,M
Nr.,BE 0685.615.103,M
Nr.,BE 0685.615.103,MIC 4
"",,Toel.,Codes,Boekjaar,,Vorig boekjaar
Bedrijfsopbrengsten en bedrijfskosten,,,,,,
Brutomarge (+)/(-),,,9900,,77.052,
Waarvan: niet-recurrente bedrijfsopbrengsten,,,76A,,,
Omzet,,,70,,,
"Handelsgoederen, grond- en hulpstoffen, diensten",,,,,,
en diverse goederen,,,60/61,,,
"Bezoldigingen, sociale lasten en pensioenen (+)/(-)",,,62,,16.627,
Afschrijvingen en waardeverminderingen op,,,,,,
"oprichtingskosten, op immateriële en materiële vaste",,,,,,
activa,,,630,,20.590,
"Waardeverminderingen op voorraden, op bestellingen",,,,,,
in uitvoering en op handelsvorderingen: toevoegingen,,,,,,
"(terugnemingen) (+)/(-)",,,631/4,,,
Voorzieningen voor risico's en kosten: toevoegingen,,,,,,
"(bestedingen en terugnemingen) (+)/(-)",,,635/8,,,
Andere bedrijfskosten,,,640/8,,905,
Als herstructureringskosten geactiveerde,,,,,,
bedrijfskosten (-),,,649,,,
Niet-recurrente bedrijfskosten,,,66A,,,
Bedrijfswinst (Bedrijfsverlies) (+)/(-),,,9901,,38.929,
Financiële opbrengsten,,,75/76B,,16,
Recurrente financiële opbrengsten,,,75,,16,
Waarvan: kapitaal- en interestsubsidies,,,753,,,
Niet-recurrente financiële opbrengsten,,,76B,,,
Financiële kosten,,,65/66B,,268,
Recurrente financiële kosten,,,65,,268,
Niet-recurrente financiële kosten,,,66B,,,
Winst (Verlies) van het boekjaar vóór belasting (+)/(-),,,9903,,38.677,
Onttrekking aan de uitgestelde belastingen,,,780,,,
Overboeking naar de uitgestelde belastingen,,,680,,,
Belastingen op het resultaat (+)/(-),,,67/77,,7.586,
Winst (Verlies) van het boekjaar (+)/(-),,,9904,,31.091,
Onttrekking aan de belastingvrije reserves,,,789,,,
Overboeking naar de belastingvrije reserves,,,689,,16.286,
Te bestemmen winst (verlies) van het boekjaar (+)/(-),,,9905,,14.805,
Nr.,BE 0685.615.103,M
Nr.,BE 0685.615.103,M
Nr.,BE 0685.615.103,M
Nr.,BE 0685.615.103,MIC 5
"",,Codes,Boekjaar,,Vorig boekjaar
Te bestemmen winst (verlies),(+)/(-),9906,,14.805,
Te bestemmen winst (verlies) van het boekjaar,(+)/(-),9905,,14.805,
Overgedragen winst (verlies) van het vorige boekjaar,(+)/(-),14P,,,
Onttrekking aan het eigen vermogen,,791/2,,,
Toevoeging aan het eigen vermogen,,691/2,,14.805,
aan het kapitaal en aan de uitgiftepremies,,691,,,
aan de wettelijke reserve,,6920,,1.860,
aan de overige reserves,,6921,,12.945,
Over te dragen winst (verlies),(+)/(-),14,,,
Tussenkomst van de vennoten in het verlies,,794,,,
Uit te keren winst,,694/7,,,
Vergoeding van het kapitaal,,694,,,
Bestuurders of zaakvoerders,,695,,,
Werknemers,,696,,,
Andere rechthebbenden,,697,,,
Nr.,BE 0685.615.103,MIC
Nr.,BE 0685.615.103,MIC
Nr.,BE 0685.615.103,MIC
