2024-00023744,0685615103,2023,EUR,23.0.4,m87-f,01/02/2024,14,MIC-inb 1
N°,0685615103,MIC-inb 2.1
"Naam, voornamen, beroep en woonplaats",Lidmaatschapsnummer,"Aard van de opdracht (A, B,C en/of D)"
N°,0685615103,MIC-inb 3.1
"",Toel.,Codes,Boekjaar,,Vorig boekjaar
CTIVA,,,,,
PRICHTINGSKOSTEN,,20,,,
ASTE ACTIVA,,21/28,35.076,,31.429
mmateriële vaste activa,6.1.1,21,,,
ateriële vaste activa,6.1.2,22/27,35.076,,31.429
Terreinen en gebouwen,,22,,,
"Installaties, machines en uitrusting",,23,1.879,,779
Meubilair en rollend materieel,,24,33.197,,30.650
Leasing en soortgelijke rechten,,25,,,
Overige materiële vaste activa,,26,,,
Activa in aanbouw en vooruitbetalingen,,27,,,
inanciële vaste activa,6.1.3,28,,,
LOTTENDE ACTIVA,,29/58,357.065,,309.507
orderingen op meer dan één jaar,,29,,,
Handelsvorderingen,,290,,,
Overige vorderingen,,291,,,
oorraden en bestellingen in uitvoering,,3,112.103,,39.795
Voorraden,,30/36,112.103,,39.795
Bestellingen in uitvoering,,37,,,
orderingen op ten hoogste één jaar,,40/41,127.007,,130.241
Handelsvorderingen,,40,125.020,,126.881
Overige vorderingen,,41,1.987,,3.360
eldbeleggingen,,50/53,,,
iquide middelen,,54/58,117.955,,139.471
verlopende rekeningen,,490/1,,,
OTAAL VAN DE ACTIVA,,20/58,392.141,,340.936
N°,0685615103,MIC-inb 3.2
"",,Toel.,Codes,Boekjaar,,Vorig boekjaar
ASSIVA,,,,,,
IGEN VERMOGEN,,,10/15,199.989,,197.326
nbreng,,,10/11,0,,18.600
Beschikbaar,,,110,0,,18.600
Onbeschikbaar,,,111,,,
erwaarderingsmeerwaarden,,,12,,,
eserves,,,13,199.989,,178.726
Onbeschikbare reserves,,,130/1,,,
Statutair onbeschikbare reserves,,,1311,,,
Inkoop eigen aandelen,,,1312,,,
Financiële steunverlening,,,1313,,,
Andere,,,1319,,,
Belastingvrije reserves,,,132,16.286,,16.286
Beschikbare reserves,,,133,183.703,,162.441
vergedragen winst (verlies),(+)/(-),,14,,,
apitaalsubsidies,,,15,,,
oorschot aan de vennoten op de verdeling van het netto-,,,19,,,
ctief,,,,,,
OORZIENINGEN EN UITGESTELDE BELASTINGEN,,,16,,,
oorzieningen voor risico's en kosten,,,160/5,,,
Pensioenen en soortgelijke verplichtingen,,,160,,,
Belastingen,,,161,,,
Grote herstellings- en onderhoudswerken,,,162,,,
Milieuverplichtingen,,,163,,,
Overige risico's en kosten,,,164/5,,,
itgestelde belastingen,,,168,,,
N°,0685615103,MIC-inb 3.2
"",Toel.,Codes,Boekjaar,,Vorig boekjaar
CHULDEN,,17/49,192.152,,143.610
chulden op meer dan één jaar,,17,,,
Financiële schulden,,170/4,,,
"Kredietinstellingen, leasingschulden en soortgelijke schulden",,172/3,,,
Overige leningen,,174/0,,,
Handelsschulden,,175,,,
Vooruitbetalingen op bestellingen,,176,,,
Overige schulden,,178/9,,,
chulden op ten hoogste één jaar,,42/48,192.152,,143.610
Schulden op meer dan één jaar die binnen het jaar vervallen,,42,0,,4.484
Financiële schulden,,43,,,
Kredietinstellingen,,430/8,,,
Overige leningen,,439,,,
Handelsschulden,,44,121.105,,72.271
Leveranciers,,440/4,121.105,,72.271
Te betalen wissels,,441,,,
Vooruitbetalingen op bestellingen,,46,,,
"Schulden met betrekking tot belastingen, bezoldigingen en sociale lasten",,45,27.261,,28.784
Belastingen,,450/3,25.786,,26.386
Bezoldigingen en sociale lasten,,454/9,1.475,,2.398
Overige schulden,,47/48,43.786,,38.070
verlopende rekeningen,,492/3,,,
OTAAL VAN DE PASSIVA,,10/49,392.141,,340.936
N°,0685615103,MIC-inb 4
"",,Codes,Boekjaar,,Vorig boekjaar
edrijfsopbrengsten en bedrijfskosten,,,,,
Brutomarge,(+)/(-),9900,,86.504,90.198
Waarvan: niet-recurrente bedrijfsopbrengsten,,76A,,,
Omzet,,70,,,
"Handelsgoederen, grond- en hulpstoffen, diensten en diverse goederen",,60/61,,,
"Bezoldigingen, sociale lasten en pensioenen",(+)/(-),62,,46.481,41.627
"Afschrijvingen en waardeverminderingen op oprichtingskosten, op",,630,,6.043,8.823
immateriële en materiële vaste activa,,,,,
"Waardeverminderingen op voorraden, op bestellingen in uitvoering en op",(+)/(-),631/4,,,
handelsvorderingen: toevoegingen (terugnemingen),,,,,
Voorzieningen voor risico's en kosten: toevoegingen (bestedingen en,(+)/(-),635/8,,,
terugnemingen),,,,,
Andere bedrijfskosten,,640/8,,1.563,1.462
Als herstructureringskosten geactiveerde bedrijfskosten,(-),649,,,
Niet-recurrente bedrijfskosten,,66A,,,
edrijfswinst (Bedrijfsverlies),(+)/(-),9901,,32.417,38.287
inanciële opbrengsten,,75/76B,,1,0
Recurrente financiële opbrengsten,,75,,1,0
Waarvan: kapitaal- en interestsubsidies,,753,,,
Niet-recurrente financiële opbrengsten,,76B,,,
inanciële kosten,,65/66B,,818,3.706
Recurrente financiële kosten,,65,,818,3.706
Niet-recurrente financiële kosten,,66B,,,
inst (Verlies) van het boekjaar vóór belasting,(+)/(-),9903,,31.600,34.581
nttrekking aan de uitgestelde belastingen,,780,,,
verboeking naar de uitgestelde belastingen,,680,,,
elastingen op het resultaat,(+)/(-),67/77,,10.338,11.377
inst (Verlies) van het boekjaar,(+)/(-),9904,,21.262,23.204
nttrekking aan de belastingvrije reserves,,789,,,
verboeking naar de belastingvrije reserves,,689,,,
e bestemmen winst (verlies) van het boekjaar,(+)/(-),9905,,21.262,23.204
N°,0685615103,MIC-inb 5
"",,Codes,Boekjaar,,Vorig boekjaar
e bestemmen winst (verlies),(+)/(-),9906,,21.262,23.204
Te bestemmen winst (verlies) van het boekjaar,(+)/(-),(9905),,21.262,23.204
Overgedragen winst (verlies) van het vorige boekjaar,(+)/(-),14P,,,
nttrekking aan het eigen vermogen,,791/2,,,
oevoeging aan het eigen vermogen,,691/2,,21.262,23.204
aan de inbreng,,691,,,
aan de wettelijke reserve,,6920,,,
aan de overige reserves,,6921,,21.262,23.204
ver te dragen winst (verlies),(+)/(-),(14),,,
ussenkomst van de vennoten in het verlies,,794,,,
it te keren winst,,694/7,,,
Vergoeding van de inbreng,,694,,,
Bestuurders of zaakvoerders,,695,,,
Werknemers,,696,,,
Andere rechthebbenden,,697,,,
N°,0685615103,MIC-inb 6.1.1
"",,Codes,Boekjaar,Vorig boekjaar,
MMATERIËLE VASTE ACTIVA,,,,,
anschaffingswaarde per einde van het boekjaar,,8059P,XXXXXXXXXX,,5.000
utaties tijdens het boekjaar,,,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",,8029,,,
Overdrachten en buitengebruikstellingen,,8039,,,
Overboekingen van een post naar een andere,(+)/(-),8049,,,
anschaffingswaarde per einde van het boekjaar,,8059,5.000,,
fschrijvingen en waardeverminderingen per einde van het boekjaar,,8129P,XXXXXXXXXX,,5.000
utaties tijdens het boekjaar,,,,,
Geboekt,,8079,,,
Teruggenomen,,8089,,,
Verworven van derden,,8099,,,
